5474	137	t1	1535980155.056543832
5508	138	t0	1535980155.156796549
5509	138	t1	1535980155.156825484
5548	139	t0	1535980155.257107340
5549	139	t1	1535980155.257137938
5585	140	t0	1535980155.357408309
5586	140	t1	1535980155.357435265
5628	141	t0	1535980155.457696045
5629	141	t1	1535980155.457729921
5662	142	t0	1535980155.557999836
5663	142	t1	1535980155.558034211
5697	143	t0	1535980155.658320599
5698	143	t1	1535980155.658351881
5731	144	t0	1535980155.758612266
5732	144	t1	1535980155.758640843
5766	145	t0	1535980155.858917650
5767	145	t1	1535980155.858949887
5807	146	t0	1535980155.959219726
5808	146	t1	1535980155.959246720
5844	147	t0	1535980156.059488671
5845	147	t1	1535980156.059518984
5879	148	t0	1535980156.159744481
5880	148	t1	1535980156.159771174
5913	149	t0	1535980156.260036265
5914	149	t1	1535980156.260064744
5955	150	t0	1535980156.360300214
5956	150	t1	1535980156.360329165
5995	151	t0	1535980156.460452238
5996	151	t1	1535980156.460530361
6030	152	t0	1535980156.560558090
6031	152	t1	1535980156.560591937
6072	153	t0	1535980156.660668461
6074	153	t1	1535980156.660697593
6109	154	t0	1535980156.760781684
6110	154	t1	1535980156.760808154
6145	155	t0	1535980156.860891438
6146	155	t1	1535980156.860920611
6186	156	t0	1535980156.960997684
6187	156	t1	1535980156.961026471
6221	157	t0	1535980157.061115901
6222	157	t1	1535980157.061143394
6255	158	t0	1535980157.161224722
6256	158	t1	1535980157.161253714
6290	159	t0	1535980157.261331706
6291	159	t1	1535980157.261359878
6330	160	t0	1535980157.361444883
6331	160	t1	1535980157.361473251
6374	161	t0	1535980157.461556878
6375	161	t1	1535980157.461589004
6409	162	t0	1535980157.561663239
6410	162	t1	1535980157.561692630
6445	163	t0	1535980157.661773967
6446	163	t1	1535980157.661808620
6480	164	t0	1535980157.761881923
6481	164	t1	1535980157.761910279
6514	165	t0	1535980157.861990384
6515	165	t1	1535980157.862017809
6554	166	t0	1535980157.962094230
6555	166	t1	1535980157.962122387
6589	167	t0	1535980158.062204994
6590	167	t1	1535980158.062235848
6624	168	t0	1535980158.162318020
